"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.137075500E-2,2.370332032E-1,-9.766246796E0,5.411061049E-1,9.784097149E0
2.334375500E-2,2.370332032E-1,-9.778218269E0,5.435003638E-1,9.796179353E0
2.533025500E-2,2.346389294E-1,-9.768641472E0,5.626545548E-1,9.787644854E0
2.732125500E-2,2.202732861E-1,-9.768641472E0,5.913859010E-1,9.789004741E0
2.931700500E-2,2.154847383E-1,-9.768641472E0,6.057515144E-1,9.789776544E0
3.131360500E-2,2.178790122E-1,-9.763853073E0,6.249057055E-1,9.786255936E0
3.331077100E-2,2.274561077E-1,-9.749486923E0,6.344828010E-1,9.772758053E0
3.530834200E-2,2.394274771E-1,-9.754275322E0,6.416656375E-1,9.778289593E0
3.730621700E-2,2.561874092E-1,-9.744698524E0,6.416656375E-1,9.769161485E0
3.930432800E-2,2.729473412E-1,-9.732727051E0,6.536370516E-1,9.758469014E0
4.130262800E-2,2.873129845E-1,-9.725543976E0,6.560313106E-1,9.751878355E0
4.330108200E-2,3.136500120E-1,-9.708784103E0,6.871568561E-1,9.738123517E0
4.529958200E-2,3.304099143E-1,-9.692024231E0,6.991282701E-1,9.722822879E0
4.729819700E-2,3.399870098E-1,-9.682447433E0,7.063110471E-1,9.714126557E0
4.929691100E-2,3.471698463E-1,-9.677659035E0,7.206767201E-1,9.710663532E0
5.129571100E-2,3.543526828E-1,-9.668081284E0,7.230709791E-1,9.701556224E0
5.329458600E-2,3.639297783E-1,-9.663292885E0,7.158881426E-1,9.696606112E0
5.529352700E-2,3.519583941E-1,-9.658504486E0,6.871568561E-1,9.689312058E0
5.729252700E-2,3.447755575E-1,-9.648927689E0,6.632141471E-1,9.677836986E0
5.929157900E-2,3.423812985E-1,-9.636956215E0,6.584255695E-1,9.665488827E0
6.129062900E-2,3.399870098E-1,-9.634561539E0,6.464542150E-1,9.662208353E0
6.328972400E-2,3.351984620E-1,-9.624984741E0,6.105400920E-1,9.650152770E0
6.528886000E-2,3.256213665E-1,-9.620196342E0,6.153286099E-1,9.645353090E0
6.728803300E-2,3.232271075E-1,-9.610619545E0,6.273000240E-1,9.636492574E0
6.928724100E-2,3.040728867E-1,-9.613013268E0,6.033572555E-1,9.636727888E0
7.128648100E-2,2.921015322E-1,-9.605830193E0,5.913859010E-1,9.628449215E0
7.328575000E-2,2.849186957E-1,-9.605830193E0,5.865973234E-1,9.627941045E0
7.528504600E-2,2.657645047E-1,-9.608224869E0,5.674431324E-1,9.628634774E0
7.728436700E-2,2.394274771E-1,-9.601041794E0,5.482889414E-1,9.619664745E0
7.928371100E-2,2.322446555E-1,-9.591464996E0,5.530774593E-1,9.610204630E0
8.128307700E-2,2.226675600E-1,-9.593858719E0,5.458946824E-1,9.611956459E0
8.328334300E-2,2.106961906E-1,-9.603436470E0,5.411061049E-1,9.620976080E0
8.528360900E-2,2.035133541E-1,-9.598648071E0,5.435003638E-1,9.616176742E0
8.728387500E-2,1.963305324E-1,-9.589070320E0,5.387118459E-1,9.606197257E0
8.928380800E-2,1.939362586E-1,-9.581888199E0,5.315290093E-1,9.598578844E0
