"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.757251000E-2,-1.014618874E-1,4.847335815E-2,-8.067575693E-1,8.145562944E-1
3.757151000E-2,-8.149316907E-2,5.195045471E-2,-7.870240211E-1,7.929355562E-1
4.757101000E-2,-8.069646358E-2,-3.802490234E-2,-8.007447124E-1,8.056983969E-1
5.757034300E-2,-9.665471315E-2,-4.904079437E-2,-8.119492531E-1,8.191512209E-1
6.756959300E-2,-1.295356899E-1,-6.873893738E-2,-8.136414886E-1,8.267508744E-1
7.756899300E-2,-1.714033782E-1,-4.043102264E-2,-7.283948660E-1,7.493816561E-1
8.756849300E-2,-1.480168849E-1,-5.517387390E-2,-7.194860578E-1,7.366229306E-1
9.756806400E-2,-1.049617976E-1,-3.628730774E-2,-7.914143801E-1,7.991686109E-1
1.075674390E-1,-8.822384477E-2,-1.495933533E-2,-7.959082723E-1,8.009227218E-1
1.175666610E-1,-1.056487411E-1,1.700401306E-3,-7.442355156E-1,7.516987765E-1
1.275659610E-1,-1.190154403E-1,2.805233002E-2,-6.964210272E-1,7.070741512E-1
1.375651420E-1,-1.112466455E-1,1.615715027E-2,-7.367312908E-1,7.452582536E-1
1.475642250E-1,-1.444075853E-1,-1.255893707E-2,-7.941472530E-1,8.072676985E-1
1.575633780E-1,-1.421352029E-1,-6.446838379E-4,-7.658844590E-1,7.789620248E-1
1.675625200E-1,-1.474357843E-1,-1.515960693E-2,-7.715947628E-1,7.857007078E-1
1.775616530E-1,-1.773486733E-1,1.822566986E-2,-7.699314356E-1,7.903031966E-1
1.875608400E-1,-1.735433042E-1,-3.351211548E-3,-7.795715928E-1,7.986616163E-1
1.975600160E-1,-1.599410474E-1,-8.096694946E-4,-7.878723145E-1,8.039431436E-1
2.075592380E-1,-1.292702258E-1,3.784847260E-2,-7.708515525E-1,7.825314141E-1
2.175585010E-1,-1.127712876E-1,2.638721466E-2,-7.742730975E-1,7.828872703E-1
2.275577010E-1,-9.411102533E-2,2.460193634E-2,-7.314182520E-1,7.378582518E-1
2.375569390E-1,-6.100647151E-2,3.242111206E-2,-7.387856841E-1,7.420088983E-1
2.475561200E-1,-2.302277088E-2,-7.749557495E-3,-7.874022722E-1,7.877768986E-1
2.575552500E-1,-1.125717163E-2,-3.823280334E-2,-7.217209339E-1,7.228205708E-1
2.675544160E-1,-9.261757135E-3,-4.149150848E-2,-6.750337481E-1,6.763711160E-1
2.775535360E-1,-2.643887699E-2,-2.207946777E-2,-5.697923899E-1,5.708326240E-1
2.875526120E-1,-8.859175444E-2,-1.238155365E-2,-5.346734524E-1,5.421046970E-1
2.975517230E-1,-1.651318967E-1,-3.620815277E-2,-5.906423926E-1,6.143598372E-1
3.075507940E-1,-1.899452209E-1,-4.658889771E-2,-4.869812727E-1,5.247861205E-1
3.175498280E-1,-1.402578652E-1,-3.388404846E-2,-4.801590443E-1,5.013712250E-1
3.275488940E-1,-7.704195380E-2,4.453659058E-3,-4.160564542E-1,4.231527748E-1
3.375479270E-1,-4.497763515E-2,8.514976501E-2,-3.427574039E-1,3.560282405E-1
3.475469600E-1,-4.503609240E-2,8.858680725E-2,-2.913679481E-1,3.078492378E-1
3.575459600E-1,-9.620726109E-2,1.273584366E-1,-2.040640116E-1,2.590716682E-1
3.675449260E-1,-4.418230653E-1,1.200971603E-1,-2.105969191E-1,5.039662799E-1
3.775438920E-1,-5.758243203E-1,1.125459671E-1,-1.277141571E-1,6.004591148E-1
3.875427920E-1,-8.968092799E-1,-8.697290421E-1,1.564822793E-1,1.259040188E0
3.975416250E-1,-3.345264196E-1,-2.469354630E0,1.624348164E-1,2.497199488E0
4.075405250E-1,-1.044531167E-1,-2.534092903E0,1.422814131E-1,2.540232528E0
4.175394250E-1,-5.082132667E-2,-2.374010086E0,1.124327183E-1,2.377214297E0
4.275382580E-1,2.514891140E-2,-2.259881973E0,1.928621531E-2,2.260104192E0
4.375371580E-1,7.854104042E-2,-2.136557579E0,-6.844878197E-3,2.138011655E0
4.475360580E-1,1.266671419E-1,-2.037444115E0,-1.131409407E-1,2.044510689E0
4.575348910E-1,1.609736681E-1,-1.936066628E0,-1.141716242E-1,1.946099090E0
4.675337570E-1,1.993239522E-1,-1.705370903E0,-1.404789686E-1,1.722717126E0
4.775325900E-1,2.313911766E-1,-1.457744598E0,-2.128519416E-1,1.491263605E0
4.875314230E-1,2.199487984E-1,-1.178611755E0,-2.051790953E-1,1.216388756E0
4.975302230E-1,2.449737191E-1,-9.710149765E-1,-2.170844674E-1,1.024698919E0
5.075289560E-1,2.298888862E-1,-7.751779556E-1,-2.011892200E-1,8.332027755E-1
5.175276890E-1,1.916590929E-1,-5.839767456E-1,-2.013804913E-1,6.467736463E-1
5.275264220E-1,1.334651262E-1,-4.141988754E-1,-2.725941539E-1,5.134989981E-1
5.375250880E-1,1.043679193E-1,-8.625507355E-2,-2.635799646E-1,2.963224562E-1
5.475238210E-1,3.899309412E-2,2.178621292E-1,-2.722592950E-1,3.508696231E-1
5.575225540E-1,6.740242243E-4,4.358778000E-1,-3.009378314E-1,5.296730021E-1
5.675212200E-1,-2.363390289E-2,6.923017502E-1,-2.657911777E-1,7.419469151E-1
5.775199530E-1,-6.159231439E-2,8.817596436E-1,-2.939334512E-1,9.314990907E-1
5.875186860E-1,-1.000444293E-1,1.049698830E0,-2.134990692E-1,1.075852394E0
5.975174190E-1,-1.146191210E-1,1.267898560E0,-2.000056505E-1,1.288684042E0
6.075161520E-1,-1.441213340E-1,1.543443680E0,-2.330521345E-1,1.567578594E0
6.175149180E-1,-1.354248822E-1,1.830792904E0,-1.963737011E-1,1.846267907E0
6.275136840E-1,-1.529183090E-1,2.010097504E0,-2.276170254E-1,2.028715232E0
6.375124500E-1,-1.557425708E-1,2.124446392E0,-2.577219009E-1,2.145681430E0
6.475111500E-1,-1.077716649E-1,2.240923882E0,-3.100919724E-1,2.264842512E0
6.575099160E-1,-6.201280653E-2,2.326032639E0,-3.530591130E-1,2.353491908E0
6.675086820E-1,-4.558569193E-2,2.470823288E0,-3.928603530E-1,2.502275971E0
