"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.239471600E-2,-5.979773998E-1,3.398609161E-2,-1.305364966E-1,6.130022855E-1
4.239471600E-2,-5.700415969E-1,3.776741028E-2,-1.159287095E-1,5.829350437E-1
5.239421600E-2,-6.067977548E-1,-8.544635773E-2,-1.899542809E-1,6.415506403E-1
6.239388200E-2,-5.525801778E-1,-5.553531647E-2,-2.065421939E-1,5.925273851E-1
7.239338200E-2,-5.217742324E-1,-4.774093628E-2,-2.511405349E-1,5.810328001E-1
8.239298200E-2,-5.647299886E-1,-2.785396576E-2,-2.158918381E-1,6.052314344E-1
9.239264800E-2,-5.859472752E-1,1.127529144E-2,-1.771984100E-1,6.122586202E-1
1.023920760E-1,-6.784892082E-1,5.048561096E-2,-1.953977942E-1,7.078677140E-1
1.123913260E-1,-6.652367711E-1,1.160364151E-1,-2.187668681E-1,7.098333282E-1
1.223906590E-1,-6.560481191E-1,1.744003296E-1,-1.970969439E-1,7.068676077E-1
1.323898590E-1,-4.335152507E-1,2.877769470E-1,-1.354340315E-1,5.376740841E-1
1.423889490E-1,-2.857365906E-1,3.004503250E-1,-6.764119864E-2,4.201084726E-1
1.523881150E-1,4.358559847E-2,-1.828794479E-1,-9.047150612E-2,2.086377010E-1
1.623872680E-1,-5.476487875E-1,-2.288160324E0,-5.097132921E-2,2.353336980E0
1.723864100E-1,-6.175776720E-1,-2.256337166E0,-7.927393913E-2,2.340671687E0
1.823856100E-1,-6.477488279E-1,-2.188759804E0,-9.643459320E-2,2.284632936E0
1.923847970E-1,-6.814625859E-1,-2.118727684E0,-9.448009729E-2,2.227627604E0
2.023840320E-1,-7.014777064E-1,-2.074889183E0,-1.183826327E-1,2.193456301E0
2.123832540E-1,-7.072347999E-1,-2.002102852E0,-1.440426707E-1,2.128225830E0
2.223825170E-1,-7.078868747E-1,-1.912289619E0,-1.569346786E-1,2.045136648E0
2.323818170E-1,-7.223856449E-1,-1.671300888E0,-1.615376472E-1,1.827890065E0
2.423810550E-1,-7.098188996E-1,-1.461074829E0,-2.032091022E-1,1.637032824E0
2.523802360E-1,-7.159016728E-1,-1.250474930E0,-2.387101650E-1,1.460542809E0
